Sold,XOM,[86.],['2021-08-17 00:00:00+00:00'],[55.56]
Bought,XOM,[86.],['2021-08-17 00:00:00+00:00'],[55.56]
Sold,XOM,[86.],['2021-08-18 00:00:00+00:00'],[54.39]
Bought,XOM,[86.],['2021-08-18 00:00:00+00:00'],[54.39]
Sold,XOM,[86.],['2021-08-19 00:00:00+00:00'],[52.73]
Bought,XOM,[86.],['2021-08-19 00:00:00+00:00'],[52.73]
Sold,XOM,[86.],['2021-08-20 00:00:00+00:00'],[52.74]
Bought,XOM,[86.],['2021-08-20 00:00:00+00:00'],[52.74]
Sold,XOM,[86.],['2021-08-23 00:00:00+00:00'],[54.91]
Bought,XOM,[86.],['2021-08-23 00:00:00+00:00'],[54.91]
Sold,XOM,[86.],['2021-08-24 00:00:00+00:00'],[55.36]
Bought,XOM,[86.],['2021-08-24 00:00:00+00:00'],[55.36]
Sold,XOM,[86.],['2021-08-25 00:00:00+00:00'],[55.46]
Bought,XOM,[86.],['2021-08-25 00:00:00+00:00'],[55.46]
Sold,XOM,[86.],['2021-08-26 00:00:00+00:00'],[54.71]
Bought,XOM,[86.],['2021-08-26 00:00:00+00:00'],[54.71]
Sold,XOM,[86.],['2021-08-27 00:00:00+00:00'],[55.77]
Bought,XOM,[86.],['2021-08-27 00:00:00+00:00'],[55.77]
Sold,XOM,[86.],['2021-08-30 00:00:00+00:00'],[55.16]
Bought,XOM,[86.],['2021-08-30 00:00:00+00:00'],[55.16]
Sold,XOM,[86.],['2021-08-31 00:00:00+00:00'],[54.52]
Bought,XOM,[86.],['2021-08-31 00:00:00+00:00'],[54.52]
Sold,XOM,[86.],['2021-09-01 00:00:00+00:00'],[53.77]
Bought,XOM,[86.],['2021-09-01 00:00:00+00:00'],[53.77]
Sold,XOM,[86.],['2021-09-02 00:00:00+00:00'],[55.08]
Bought,XOM,[86.],['2021-09-02 00:00:00+00:00'],[55.08]
Sold,XOM,[86.],['2021-09-03 00:00:00+00:00'],[54.87]
Bought,XOM,[86.],['2021-09-03 00:00:00+00:00'],[54.87]
Sold,XOM,[86.],['2021-09-07 00:00:00+00:00'],[54.55]
Bought,XOM,[86.],['2021-09-07 00:00:00+00:00'],[54.55]
Sold,XOM,[86.],['2021-09-08 00:00:00+00:00'],[54.05]
Bought,XOM,[86.],['2021-09-08 00:00:00+00:00'],[54.05]
Sold,XOM,[86.],['2021-09-09 00:00:00+00:00'],[54.09]
Bought,XOM,[86.],['2021-09-09 00:00:00+00:00'],[54.09]
Sold,XOM,[86.],['2021-09-10 00:00:00+00:00'],[53.98]
Bought,XOM,[86.],['2021-09-10 00:00:00+00:00'],[53.98]
Sold,XOM,[86.],['2021-09-13 00:00:00+00:00'],[55.37]
Bought,XOM,[86.],['2021-09-13 00:00:00+00:00'],[55.37]
Sold,XOM,[86.],['2021-09-14 00:00:00+00:00'],[54.58]
Bought,XOM,[86.],['2021-09-14 00:00:00+00:00'],[54.58]
Sold,XOM,[86.],['2021-09-15 00:00:00+00:00'],[56.42]
Bought,XOM,[86.],['2021-09-15 00:00:00+00:00'],[56.42]
Sold,XOM,[86.],['2021-09-16 00:00:00+00:00'],[55.82]
Bought,XOM,[86.],['2021-09-16 00:00:00+00:00'],[55.82]
Sold,XOM,[86.],['2021-09-17 00:00:00+00:00'],[55.16]
Bought,XOM,[86.],['2021-09-17 00:00:00+00:00'],[55.16]
Sold,XOM,[86.],['2021-09-20 00:00:00+00:00'],[53.69]
Bought,XOM,[86.],['2021-09-20 00:00:00+00:00'],[53.69]
Sold,XOM,[86.],['2021-09-21 00:00:00+00:00'],[53.64]
Bought,XOM,[86.],['2021-09-21 00:00:00+00:00'],[53.64]
Sold,XOM,[86.],['2021-09-22 00:00:00+00:00'],[55.21]
Bought,XOM,[86.],['2021-09-22 00:00:00+00:00'],[55.21]
Sold,XOM,[86.],['2021-09-23 00:00:00+00:00'],[57.08]
Bought,XOM,[86.],['2021-09-23 00:00:00+00:00'],[57.08]
Sold,XOM,[86.],['2021-09-24 00:00:00+00:00'],[57.59]
Bought,XOM,[86.],['2021-09-24 00:00:00+00:00'],[57.59]
Sold,XOM,[86.],['2021-09-27 00:00:00+00:00'],[59.3]
Bought,XOM,[86.],['2021-09-27 00:00:00+00:00'],[59.3]
Sold,XOM,[86.],['2021-09-28 00:00:00+00:00'],[59.92]
Bought,XOM,[86.],['2021-09-28 00:00:00+00:00'],[59.92]
Sold,XOM,[86.],['2021-09-29 00:00:00+00:00'],[59.88]
Bought,XOM,[86.],['2021-09-29 00:00:00+00:00'],[59.88]
Sold,XOM,[86.],['2021-09-30 00:00:00+00:00'],[58.82]
Bought,XOM,[86.],['2021-09-30 00:00:00+00:00'],[58.82]
Sold,XOM,[86.],['2021-10-01 00:00:00+00:00'],[60.93]
Bought,XOM,[86.],['2021-10-01 00:00:00+00:00'],[60.93]
Sold,XOM,[86.],['2021-10-04 00:00:00+00:00'],[61.72]
Bought,XOM,[86.],['2021-10-04 00:00:00+00:00'],[61.72]
Sold,XOM,[86.],['2021-10-05 00:00:00+00:00'],[61.62]
Bought,XOM,[86.],['2021-10-05 00:00:00+00:00'],[61.62]
Sold,XOM,[86.],['2021-10-06 00:00:00+00:00'],[60.49]
Bought,XOM,[86.],['2021-10-06 00:00:00+00:00'],[60.49]
Sold,XOM,[86.],['2021-10-07 00:00:00+00:00'],[60.66]
Bought,XOM,[86.],['2021-10-07 00:00:00+00:00'],[60.66]
Sold,XOM,[86.],['2021-10-08 00:00:00+00:00'],[62.18]
Bought,XOM,[86.],['2021-10-08 00:00:00+00:00'],[62.18]
Sold,XOM,[86.],['2021-10-11 00:00:00+00:00'],[61.56]
Bought,XOM,[86.],['2021-10-11 00:00:00+00:00'],[61.56]
Sold,XOM,[86.],['2021-10-12 00:00:00+00:00'],[61.24]
Bought,XOM,[86.],['2021-10-12 00:00:00+00:00'],[61.24]
Sold,XOM,[86.],['2021-10-13 00:00:00+00:00'],[61.07]
Bought,XOM,[86.],['2021-10-13 00:00:00+00:00'],[61.07]
Sold,XOM,[86.],['2021-10-14 00:00:00+00:00'],[62.]
Bought,XOM,[86.],['2021-10-14 00:00:00+00:00'],[62.]
Sold,XOM,[86.],['2021-10-15 00:00:00+00:00'],[62.59]
Bought,XOM,[86.],['2021-10-15 00:00:00+00:00'],[62.59]
Sold,XOM,[86.],['2021-10-18 00:00:00+00:00'],[62.56]
Bought,XOM,[86.],['2021-10-18 00:00:00+00:00'],[62.56]
Sold,XOM,[86.],['2021-10-19 00:00:00+00:00'],[63.5]
Bought,XOM,[86.],['2021-10-19 00:00:00+00:00'],[63.5]
Sold,XOM,[86.],['2021-10-20 00:00:00+00:00'],[63.85]
Bought,XOM,[86.],['2021-10-20 00:00:00+00:00'],[63.85]
Sold,XOM,[86.],['2021-10-21 00:00:00+00:00'],[62.69]
Bought,XOM,[86.],['2021-10-21 00:00:00+00:00'],[62.69]
Sold,XOM,[86.],['2021-10-22 00:00:00+00:00'],[63.12]
Bought,XOM,[86.],['2021-10-22 00:00:00+00:00'],[63.12]
Sold,XOM,[86.],['2021-10-25 00:00:00+00:00'],[64.35]
Bought,XOM,[86.],['2021-10-25 00:00:00+00:00'],[64.35]
Sold,XOM,[86.],['2021-10-26 00:00:00+00:00'],[65.84]
Bought,QCOM,[42.],['2021-10-26 00:00:00+00:00'],[131.94]
Sold,QCOM,[42.],['2021-10-27 00:00:00+00:00'],[131.2]
Bought,XOM,[87.],['2021-10-27 00:00:00+00:00'],[64.13]
Sold,XOM,[87.],['2021-10-28 00:00:00+00:00'],[64.31]
Bought,XOM,[87.],['2021-10-28 00:00:00+00:00'],[64.31]
Sold,XOM,[87.],['2021-10-29 00:00:00+00:00'],[64.47]
Bought,XOM,[87.],['2021-10-29 00:00:00+00:00'],[64.47]
Sold,XOM,[87.],['2021-11-01 00:00:00+00:00'],[65.63]
Bought,QCOM,[42.],['2021-11-01 00:00:00+00:00'],[134.81]
Sold,QCOM,[42.],['2021-11-02 00:00:00+00:00'],[135.23]
Bought,QCOM,[42.],['2021-11-02 00:00:00+00:00'],[135.23]
Sold,QCOM,[42.],['2021-11-03 00:00:00+00:00'],[138.48]
Bought,QCOM,[42.],['2021-11-03 00:00:00+00:00'],[138.48]
Sold,QCOM,[42.],['2021-11-04 00:00:00+00:00'],[156.11]
Bought,QCOM,[42.],['2021-11-04 00:00:00+00:00'],[156.11]
Sold,QCOM,[42.],['2021-11-05 00:00:00+00:00'],[163.03]
Bought,QCOM,[42.],['2021-11-05 00:00:00+00:00'],[163.03]
Sold,QCOM,[42.],['2021-11-08 00:00:00+00:00'],[165.85]
Bought,QCOM,[42.],['2021-11-08 00:00:00+00:00'],[165.85]
Sold,QCOM,[42.],['2021-11-09 00:00:00+00:00'],[166.74]
Bought,QCOM,[42.],['2021-11-09 00:00:00+00:00'],[166.74]
Sold,QCOM,[42.],['2021-11-10 00:00:00+00:00'],[159.8]
Bought,QCOM,[42.],['2021-11-10 00:00:00+00:00'],[159.8]
Sold,QCOM,[42.],['2021-11-11 00:00:00+00:00'],[164.42]
Bought,QCOM,[42.],['2021-11-11 00:00:00+00:00'],[164.42]
Sold,QCOM,[42.],['2021-11-12 00:00:00+00:00'],[164.94]
Bought,QCOM,[42.],['2021-11-12 00:00:00+00:00'],[164.94]
Sold,QCOM,[42.],['2021-11-15 00:00:00+00:00'],[168.51]
Bought,QCOM,[42.],['2021-11-15 00:00:00+00:00'],[168.51]
Sold,QCOM,[42.],['2021-11-16 00:00:00+00:00'],[181.81]
Bought,QCOM,[42.],['2021-11-16 00:00:00+00:00'],[181.81]
Sold,QCOM,[42.],['2021-11-17 00:00:00+00:00'],[183.54]
Bought,QCOM,[42.],['2021-11-17 00:00:00+00:00'],[183.54]
Sold,QCOM,[42.],['2021-11-18 00:00:00+00:00'],[186.32]
Bought,QCOM,[42.],['2021-11-18 00:00:00+00:00'],[186.32]
Sold,QCOM,[42.],['2021-11-19 00:00:00+00:00'],[185.]
Bought,QCOM,[42.],['2021-11-19 00:00:00+00:00'],[185.]
Sold,QCOM,[42.],['2021-11-22 00:00:00+00:00'],[181.4]
Bought,QCOM,[42.],['2021-11-22 00:00:00+00:00'],[181.4]
Sold,QCOM,[42.],['2021-11-23 00:00:00+00:00'],[180.94]
Bought,QCOM,[42.],['2021-11-23 00:00:00+00:00'],[180.94]
Sold,QCOM,[42.],['2021-11-24 00:00:00+00:00'],[180.71]
Bought,QCOM,[42.],['2021-11-24 00:00:00+00:00'],[180.71]
Sold,QCOM,[42.],['2021-11-26 00:00:00+00:00'],[175.74]
Bought,QCOM,[42.],['2021-11-26 00:00:00+00:00'],[175.74]
Sold,QCOM,[42.],['2021-11-29 00:00:00+00:00'],[183.74]
Bought,QCOM,[42.],['2021-11-29 00:00:00+00:00'],[183.74]
Sold,QCOM,[42.],['2021-11-30 00:00:00+00:00'],[180.56]
Bought,XOM,[128.],['2021-11-30 00:00:00+00:00'],[59.84]
Sold,XOM,[128.],['2021-12-01 00:00:00+00:00'],[59.79]
Bought,XOM,[128.],['2021-12-01 00:00:00+00:00'],[59.79]
Sold,XOM,[128.],['2021-12-02 00:00:00+00:00'],[61.28]
Bought,QCOM,[44.],['2021-12-02 00:00:00+00:00'],[177.03]
Sold,QCOM,[44.],['2021-12-03 00:00:00+00:00'],[176.51]
Bought,QCOM,[44.],['2021-12-03 00:00:00+00:00'],[176.51]
Sold,QCOM,[44.],['2021-12-06 00:00:00+00:00'],[175.45]
Bought,QCOM,[44.],['2021-12-06 00:00:00+00:00'],[175.45]
Sold,QCOM,[44.],['2021-12-07 00:00:00+00:00'],[183.72]
Bought,QCOM,[44.],['2021-12-07 00:00:00+00:00'],[183.72]
Sold,QCOM,[44.],['2021-12-08 00:00:00+00:00'],[182.63]
Bought,QCOM,[44.],['2021-12-08 00:00:00+00:00'],[182.63]
Sold,QCOM,[44.],['2021-12-09 00:00:00+00:00'],[182.26]
Bought,QCOM,[44.],['2021-12-09 00:00:00+00:00'],[182.26]
Sold,QCOM,[44.],['2021-12-10 00:00:00+00:00'],[183.88]
Bought,QCOM,[44.],['2021-12-10 00:00:00+00:00'],[183.88]
Sold,QCOM,[44.],['2021-12-13 00:00:00+00:00'],[183.32]
Bought,QCOM,[44.],['2021-12-13 00:00:00+00:00'],[183.32]
Sold,QCOM,[44.],['2021-12-14 00:00:00+00:00'],[181.98]
Bought,QCOM,[44.],['2021-12-14 00:00:00+00:00'],[181.98]
Sold,QCOM,[44.],['2021-12-15 00:00:00+00:00'],[189.28]
Bought,QCOM,[44.],['2021-12-15 00:00:00+00:00'],[189.28]
Sold,QCOM,[44.],['2021-12-16 00:00:00+00:00'],[178.15]
Bought,QCOM,[44.],['2021-12-16 00:00:00+00:00'],[178.15]
Sold,QCOM,[44.],['2021-12-17 00:00:00+00:00'],[176.8]
Bought,XOM,[130.],['2021-12-17 00:00:00+00:00'],[60.03]
Sold,XOM,[130.],['2021-12-20 00:00:00+00:00'],[59.16]
Bought,XOM,[130.],['2021-12-20 00:00:00+00:00'],[59.16]
Sold,XOM,[130.],['2021-12-21 00:00:00+00:00'],[60.5]
Bought,XOM,[130.],['2021-12-21 00:00:00+00:00'],[60.5]
Sold,XOM,[130.],['2021-12-22 00:00:00+00:00'],[60.99]
Bought,QCOM,[44.],['2021-12-22 00:00:00+00:00'],[181.38]
Sold,QCOM,[44.],['2021-12-23 00:00:00+00:00'],[182.74]
Bought,QCOM,[44.],['2021-12-23 00:00:00+00:00'],[182.74]
Sold,QCOM,[44.],['2021-12-27 00:00:00+00:00'],[186.33]
Bought,QCOM,[44.],['2021-12-27 00:00:00+00:00'],[186.33]
Sold,QCOM,[44.],['2021-12-28 00:00:00+00:00'],[184.82]
Bought,QCOM,[44.],['2021-12-28 00:00:00+00:00'],[184.82]
Sold,QCOM,[44.],['2021-12-29 00:00:00+00:00'],[186.2]
Bought,XOM,[134.],['2021-12-29 00:00:00+00:00'],[61.15]
Sold,XOM,[134.],['2021-12-30 00:00:00+00:00'],[60.79]
Bought,XOM,[134.],['2021-12-30 00:00:00+00:00'],[60.79]
Sold,XOM,[134.],['2021-12-31 00:00:00+00:00'],[61.19]
Bought,XOM,[134.],['2021-12-31 00:00:00+00:00'],[61.19]
Sold,XOM,[134.],['2022-01-03 00:00:00+00:00'],[63.54]
Bought,XOM,[134.],['2022-01-03 00:00:00+00:00'],[63.54]
Sold,XOM,[134.],['2022-01-04 00:00:00+00:00'],[65.93]
Bought,GOOG,[3.],['2022-01-04 00:00:00+00:00'],[2888.33]
Sold,GOOG,[3.],['2022-01-05 00:00:00+00:00'],[2753.07]
Bought,GOOG,[3.],['2022-01-05 00:00:00+00:00'],[2753.07]
Sold,GOOG,[3.],['2022-01-06 00:00:00+00:00'],[2751.02]
Bought,GOOG,[3.],['2022-01-06 00:00:00+00:00'],[2751.02]
Sold,GOOG,[3.],['2022-01-07 00:00:00+00:00'],[2740.09]
Bought,GOOG,[3.],['2022-01-07 00:00:00+00:00'],[2740.09]
Sold,GOOG,[3.],['2022-01-10 00:00:00+00:00'],[2771.48]
Bought,GOOG,[3.],['2022-01-10 00:00:00+00:00'],[2771.48]
Sold,GOOG,[3.],['2022-01-11 00:00:00+00:00'],[2800.35]
Bought,GOOG,[3.],['2022-01-11 00:00:00+00:00'],[2800.35]
Sold,GOOG,[3.],['2022-01-12 00:00:00+00:00'],[2832.96]
Bought,GOOG,[3.],['2022-01-12 00:00:00+00:00'],[2832.96]
Sold,GOOG,[3.],['2022-01-13 00:00:00+00:00'],[2782.62]
Bought,GOOG,[3.],['2022-01-13 00:00:00+00:00'],[2782.62]
Sold,GOOG,[3.],['2022-01-14 00:00:00+00:00'],[2795.73]
Bought,GOOG,[3.],['2022-01-14 00:00:00+00:00'],[2795.73]
Sold,GOOG,[3.],['2022-01-18 00:00:00+00:00'],[2725.81]
Bought,GOOG,[3.],['2022-01-18 00:00:00+00:00'],[2725.81]
Sold,GOOG,[3.],['2022-01-19 00:00:00+00:00'],[2713.04]
Bought,GOOG,[3.],['2022-01-19 00:00:00+00:00'],[2713.04]
Sold,GOOG,[3.],['2022-01-20 00:00:00+00:00'],[2670.13]
Bought,GOOG,[3.],['2022-01-20 00:00:00+00:00'],[2670.13]
Sold,GOOG,[3.],['2022-01-21 00:00:00+00:00'],[2601.84]
Bought,GOOG,[3.],['2022-01-21 00:00:00+00:00'],[2601.84]
Sold,GOOG,[3.],['2022-01-24 00:00:00+00:00'],[2607.44]
Bought,GOOG,[3.],['2022-01-24 00:00:00+00:00'],[2607.44]
